1 | GPT Pro | 40 | openai | {"gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-image-2": "gpt-image-2", "gpt-5.4-mini": "gpt-5.4-mini", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra", "codex-auto-review": "codex-auto-review"}
1 | GPT Pro | 129 | openai | {"gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-6-astra": "gpt-6-astra", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra", "codex-auto-review": "codex-auto-review", "gpt-5.3-codex-spark": "gpt-5.3-codex-spark"}
1 | GPT Pro | 172 | openai | {"gpt-5.5": "gpt-5.5", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra"}
1 | GPT Pro | 182 | openai | {"gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-5.4-mini": "gpt-5.4-mini", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra", "codex-auto-review": "codex-auto-review", "gpt-5.3-codex-spark": "gpt-5.3-codex-spark"}
1 | GPT Pro | 190 | openai | {"gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra", "codex-auto-review": "codex-auto-review"}
1 | GPT Pro | 193 | openai | {"gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-5.4-mini": "gpt-5.4-mini", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra", "codex-auto-review": "codex-auto-review"}
1 | GPT Pro | 195 | openai | {"gpt-5.2": "gpt-5.2", "gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.2-pro": "gpt-5.2-pro", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-6-astra": "gpt-6-astra", "gpt-image-1": "gpt-image-1", "gpt-image-2": "gpt-image-2", "gpt-5.4-mini": "gpt-5.4-mini", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra", "gpt-image-1.5": "gpt-image-1.5", "codex-auto-review": "codex-auto-review", "gpt-5.2-2025-12-11": "gpt-5.2-2025-12-11", "gpt-5.4-2026-03-05": "gpt-5.4-2026-03-05", "gpt-5.2-chat-latest": "gpt-5.2-chat-latest", "gpt-5.3-codex-spark": "gpt-5.3-codex-spark", "gpt-4o-audio-preview": "gpt-4o-audio-preview", "gpt-5.2-pro-2025-12-11": "gpt-5.2-pro-2025-12-11", "gpt-4o-realtime-preview": "gpt-4o-realtime-preview"}
1 | GPT Pro | 200 | openai | {"gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-5.4-mini": "gpt-5.4-mini", "gpt-5.6-terra": "gpt-5.6-terra", "codex-auto-review": "codex-auto-review", "gpt-5.3-codex-spark": "gpt-5.3-codex-spark"}
1 | GPT Pro | 204 | openai | {"gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-6-astra": "gpt-6-astra", "gpt-image-1": "gpt-image-1", "gpt-image-2": "gpt-image-2", "gpt-5.6-luna": "gpt-5.6-luna", "gpt-5.6-terra": "gpt-5.6-terra", "gpt-image-1.5": "gpt-image-1.5", "codex-auto-review": "codex-auto-review"}
2 | GPT Image | 40 | openai | {"gpt-5.4": "gpt-5.4", "gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-image-2": "gpt-image-2", "gpt-5.4-mini": "gpt-5.4-mini", "gpt-5.6-luna": "gpt-5.6-terra", "gpt-5.6-terra": "gpt-5.6-terra", "codex-auto-review": "codex-auto-review"}
2 | GPT Image | 184 | openai | {"gpt-image-2": "gpt-image-2"}
2 | GPT Image | 197 | openai | {"gpt-image-1": "gpt-image-1", "gpt-image-2": "gpt-image-2", "gpt-image-1.5": "gpt-image-1.5"}
2 | GPT Image | 202 | openai | {"gpt-image-2": "gpt-image-2", "gpt-image-2-1k": "gpt-image-2-1k", "gpt-image-2-2k": "gpt-image-2-2k", "gpt-image-2-4k": "gpt-image-2-4k"}
2 | GPT Image | 204 | openai | {"gpt-5.5": "gpt-5.5", "gpt-5.6": "gpt-5.6", "gpt-5.6-sol": "gpt-5.6-sol", "gpt-6-astra": "gpt-6-astra", "gpt-image-1": "gpt-image-1", "gpt-image-2": "gpt-image-2", "gpt-5.6-luna": "gpt-5.6-luna", "gpt-5.6-terra": "gpt-5.6-terra", "gpt-image-1.5": "gpt-image-1.5", "codex-auto-review": "codex-auto-review"}
4 | Antigravity Gemini | 33 | antigravity | {"chat_20706": "chat_20706", "chat_23310": "chat_23310", "gemini-2.5-pro": "gemini-2.5-pro", "gemini-3-flash": "gemini-3-flash", "gemini-2.5-flash": "gemini-2.5-flash", "gemini-pro-agent": "gemini-pro-agent", "claude-sonnet-4-6": "claude-sonnet-4-6", "gemini-3.1-pro-low": "gemini-3.1-pro-low", "gemini-3.1-pro-high": "gemini-3.1-pro-high", "gpt-oss-120b-medium": "gpt-oss-120b-medium", "gemini-3-flash-agent": "gemini-3-flash-agent", "gemini-3.5-flash-low": "gemini-3.5-flash-low", "gemini-3.6-flash-low": "gemini-3.6-flash-low", "gemini-3.7-flash-low": "gemini-3.7-flash-low", "gemini-3.8-flash-low": "gemini-3.8-flash-low", "gemini-2.5-flash-lite": "gemini-2.5-flash-lite", "gemini-3.1-flash-lite": "gemini-3.1-flash-lite", "gemini-3.6-flash-high": "gemini-3.6-flash-high", "gemini-3.7-flash-high": "gemini-3.7-flash-high", "gemini-3.8-flash-high": "gemini-3.8-flash-high", "gemini-3.1-flash-image": "gemini-3.1-flash-image", "tab_flash_lite_preview": "tab_flash_lite_preview", "gemini-3.6-flash-medium": "gemini-3.6-flash-medium", "gemini-3.6-flash-tiered": "gemini-3.6-flash-tiered", "gemini-3.7-flash-medium": "gemini-3.7-flash-medium", "gemini-3.7-flash-tiered": "gemini-3.7-flash-tiered", "gemini-3.8-flash-medium": "gemini-3.8-flash-medium", "claude-opus-4-6-thinking": "claude-opus-4-6-thinking", "gemini-2.5-flash-thinking": "gemini-2.5-flash-thinking", "gemini-3.5-flash-extra-low": "gemini-3.5-flash-extra-low", "tab_jump_flash_lite_preview": "tab_jump_flash_lite_preview"}
